# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
P2U-Bardon-LWS02;600;2022-05-02 23:10:01 UTC;174.01;2728.30;183658.60;0.22;184145.21;222.69;0.00;11.46;5.15
P2U-Bardon-LWS02;600;2022-05-02 23:20:01 UTC;43.37;4126.67;182683.33;0.19;183947.16;387.89;0.00;15.41;3.97
P2U-Bardon-LWS02;600;2022-05-02 23:30:01 UTC;57969.50;7905.03;179199.18;3.65;195697.02;15219.24;65.27;13530.04;88.52
P2U-Bardon-LWS02;600;2022-05-02 23:40:01 UTC;9868.48;5213.89;182782.76;4.03;187825.36;3508.04;2.20;3508.69;99.96
P2U-Bardon-LWS02;600;2022-05-02 23:50:01 UTC;1682.97;4840.98;184195.34;3.09;184861.39;551.69;2.18;551.74;99.62
P2U-Bardon-LWS02;600;2022-05-03 00:00:01 UTC;7466.97;5373.23;183073.91;705.23;188613.47;404.48;1299.96;1669.83;97.97
P2U-Bardon-LWS02;600;2022-05-03 00:10:01 UTC;679.86;5377.09;184355.66;112.91;186422.97;505.58;94.86;250.33;41.69
P2U-Bardon-LWS02;600;2022-05-03 00:20:01 UTC;22.96;4435.72;180557.17;0.26;181857.86;146.68;26.71;170.22;98.17
P2U-Bardon-LWS02;600;2022-05-03 00:30:01 UTC;9.60;5488.76;184088.40;0.07;185715.07;141.40;32.25;128.20;73.82
P2U-Bardon-LWS02;600;2022-05-03 00:40:02 UTC;341.75;5759.23;183546.42;0.18;186287.96;1216.72;1120.37;188.65;8.07
P2U-Bardon-LWS02;599;2022-05-03 00:50:01 UTC;441.73;6056.95;181628.52;1.22;183655.28;313.57;279.33;246.80;41.63
P2U-Bardon-LWS02;600;2022-05-03 01:00:01 UTC;2816.57;5662.74;183144.62;441.06;190021.09;351.24;729.17;587.71;54.40
P2U-Bardon-LWS02;600;2022-05-03 01:10:01 UTC;165.05;5544.29;184320.51;0.15;185858.37;129.61;160.62;1.29;0.44
P2U-Bardon-LWS02;600;2022-05-03 01:20:01 UTC;11.31;5558.91;182765.96;0.10;184286.77;301.42;178.96;38.49;8.01
P2U-Bardon-LWS02;600;2022-05-03 01:30:01 UTC;11.36;5742.53;183547.92;0.07;184719.86;44.56;175.80;11.24;5.10
P2U-Bardon-LWS02;600;2022-05-03 01:40:01 UTC;503.49;5782.76;184051.21;0.42;186051.02;1774.76;125.41;375.56;19.76
P2U-Bardon-LWS02;600;2022-05-03 01:50:01 UTC;56.61;6360.19;183837.51;1.68;186691.45;305.94;200.52;270.85;53.48
P2U-Bardon-LWS02;600;2022-05-03 02:00:01 UTC;3043.53;5396.22;183142.95;516.06;189888.81;71.25;1177.34;576.22;46.15
P2U-Bardon-LWS02;599;2022-05-03 02:10:01 UTC;161.04;4658.36;182412.42;0.08;184978.70;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-03 02:20:01 UTC;57.56;5391.73;182271.31;0.72;185212.03;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;601;2022-05-03 02:30:01 UTC;30.05;4757.54;182582.97;0.00;185102.72;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-03 02:40:01 UTC;305.81;5631.49;183983.95;0.24;186377.51;989.08;343.84;223.77;16.79
P2U-Bardon-LWS02;600;2022-05-03 02:50:01 UTC;430.76;6016.90;184085.88;0.48;186468.87;295.26;255.23;181.30;32.93
P2U-Bardon-LWS02;600;2022-05-03 03:00:01 UTC;3619.60;5494.57;181551.93;231.50;188628.57;118.21;1389.85;855.22;56.71
P2U-Bardon-LWS02;600;2022-05-03 03:10:01 UTC;7.36;5300.72;184242.18;0.07;185957.51;92.61;1.46;36.18;38.46
P2U-Bardon-LWS02;600;2022-05-03 03:20:01 UTC;133.44;5904.27;185149.60;0.15;186991.57;258.89;45.35;81.95;26.94
P2U-Bardon-LWS02;599;2022-05-03 03:30:01 UTC;5.54;5448.07;185077.49;0.04;186662.06;130.61;36.71;56.98;34.06
P2U-Bardon-LWS02;600;2022-05-03 03:40:01 UTC;1835.52;5312.39;182351.58;0.55;184734.36;1805.16;816.05;532.30;20.31
P2U-Bardon-LWS02;600;2022-05-03 03:50:01 UTC;432.19;5595.40;183404.75;3.77;185059.47;308.21;40.61;259.17;74.30
P2U-Bardon-LWS02;600;2022-05-03 04:00:01 UTC;1861.09;5633.11;185408.20;231.93;192008.32;286.97;876.82;379.41;32.60
P2U-Bardon-LWS02;600;2022-05-03 04:10:01 UTC;14.02;5517.52;182238.15;0.15;183429.67;93.48;164.86;15.60;6.04
P2U-Bardon-LWS02;600;2022-05-03 04:20:01 UTC;15.48;6468.12;185573.67;0.21;188153.48;124.46;461.63;22.04;3.76
P2U-Bardon-LWS02;601;2022-05-03 04:30:01 UTC;6.11;5624.58;183172.54;0.08;184918.66;129.54;52.52;18.89;10.37
P2U-Bardon-LWS02;600;2022-05-03 04:40:01 UTC;608.57;5297.58;181394.93;0.34;184364.36;868.82;616.67;476.31;32.06
P2U-Bardon-LWS02;600;2022-05-03 04:50:01 UTC;7.75;5612.39;183512.41;0.22;185492.64;96.33;15.73;109.66;97.86
P2U-Bardon-LWS02;599;2022-05-03 05:00:01 UTC;5556.56;5951.62;186440.14;711.64;193582.47;99.44;1413.16;1330.09;87.93
P2U-Bardon-LWS02;600;2022-05-03 05:10:01 UTC;732.29;5904.48;182903.08;138.85;184410.50;337.75;122.33;60.54;13.16
P2U-Bardon-LWS02;600;2022-05-03 05:20:01 UTC;31.39;5908.22;186054.50;0.27;187725.14;176.28;121.14;78.59;26.42
P2U-Bardon-LWS02;601;2022-05-03 05:30:02 UTC;90.79;5941.03;186483.77;0.15;187858.43;126.93;165.43;53.97;18.46
P2U-Bardon-LWS02;599;2022-05-03 05:40:01 UTC;317.49;5770.41;181452.52;0.27;184143.00;1311.38;697.38;255.94;12.74
P2U-Bardon-LWS02;600;2022-05-03 05:50:01 UTC;6.45;5189.53;184043.23;0.10;186925.27;80.79;0.00;77.93;96.45
P2U-Bardon-LWS02;600;2022-05-03 06:00:01 UTC;4151.67;4365.53;183551.70;381.62;192271.50;11.60;1835.36;925.81;50.13
P2U-Bardon-LWS02;600;2022-05-03 06:10:01 UTC;175.28;5393.69;182144.79;0.26;184725.62;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-03 06:20:01 UTC;11.32;5692.62;185212.35;0.11;186342.58;24.26;112.04;1.20;0.88
P2U-Bardon-LWS02;600;2022-05-03 06:30:01 UTC;107.91;6694.34;182928.40;0.34;185413.39;560.16;111.84;100.47;14.95
